,0
1948,3
1949,4
1942,3
1943,5
1940,11
1941,5
1946,3
1947,6
1944,5
1945,7
2015,30
2014,308
2011,271
2010,182
2013,454
2012,392
1955,9
1954,14
1957,20
1956,14
1951,5
1950,5
1953,8
1952,6
1959,8
1958,13
1920,5
1921,3
1922,2
1923,3
1924,4
1925,3
1926,3
1927,3
1928,1
1929,2
1933,1
1932,3
1931,3
1930,2
1937,3
1936,2
1935,2
1934,3
1939,5
1938,4
1904,1
1902,1
1986,28
1987,17
1984,20
1985,16
1982,12
1983,8
1980,15
1981,12
1988,20
1989,25
1919,1
1918,1
1913,1
1915,1
1914,1
1991,22
1990,20
1993,26
1992,23
1995,35
1994,41
1997,45
1996,53
1999,46
1998,61
1968,13
1969,10
1964,8
1965,4
1966,6
1967,5
1960,15
1961,16
1962,20
1963,11
1979,11
1978,14
1977,9
1976,11
1975,8
1974,10
1973,16
1972,7
1971,10
1970,14
2002,82
2003,77
2000,63
2001,66
2006,89
2007,77
2004,77
2005,70
2008,85
2009,115
